callsign,icao24,actype,bada_model,fuel_kg,duration_s,distance_nm,mean_fl,n_segments
SAS2690,4ac9ed,A20N,A320-271N,184.65,420.0,18.6,26.0,7
SAS1558,4cad91,A20N,A320-271N,313.67,660.0,36.9,39.0,11
RYR4623,4d2262,B738,B738W26,35.93,60.0,1.9,7.0,1
DLH5EE,3c64ac,A21N,A321-131,499.36,780.0,42.2,56.0,13
BTI2HU,502d47,BCS3,A319-131,36.0,60.0,7.0,360.0,1
CCA938,78076d,B77W,B773ERGE115B,1823.31,960.0,118.4,330.0,16
BEL9FL,44cc46,,B738W26,598.78,900.0,62.5,71.0,15
SAS1772,4ca660,CRJ9,EMB-175STD,304.08,600.0,52.6,113.0,10
NSZ4354,47875a,B738,B738W26,571.47,900.0,60.6,75.0,15
RYR4772,4caf29,,B738W26,603.14,960.0,64.4,90.0,16
RYR3EQ,4d2220,B738,B738W26,505.44,840.0,67.4,127.0,14
DLH6VP,3c66ea,A320,A320-232,255.67,420.0,37.7,149.0,7
DFL5980,4aab15,,B738W26,72.2,120.0,2.5,5.0,2
