callsign,actype,bada_model,cdo_fuel_kg,orig_fuel_kg,fuel_saving_kg,fuel_saving_pct,duration_s,distance_nm
SWE33A,PC24,EMB-505,44.59,262.08,217.48,83.0,903,89.7
ICE306,A21N,A321-131,104.91,593.39,488.48,82.3,673,58.7
SAS486,CRJ9,EMB-190LR,89.08,366.71,277.63,75.7,707,58.8
KLM91Y,B737,B737W24,88.25,658.49,570.24,86.6,671,58.8
RYR3EQ,B738,B738W26,136.15,381.49,245.34,64.3,925,58.7
ABF2,C25A,B738W26,103.72,562.78,459.06,81.6,704,65.0
NSZ4336,B38M,B738W26,92.84,431.8,338.96,78.5,601,50.3
SAS1916,A20N,A320-271N,66.58,488.21,421.63,86.4,581,50.3
SAS080,AT76,ATR72-600,1.0803397973783153e+78,0.0,-1.0803397973783153e+78,0.0,2076,50.2
SAS88K,B738,B738W26,91.06,492.77,401.71,81.5,590,50.2
SAS42E,A20N,A320-271N,66.45,457.2,390.75,85.5,580,50.3
NJE485G,F2TH,B738W26,96.33,453.0,356.67,78.7,623,50.3
